event_date,year,event_type,sub_event_type,actor1,actor2,interaction,admin1,admin2,location,latitude,longitude,fatalities,civilian_targeting,notes,month
2024-12-31,2024,Battles,Armed clash,BLF: Baloch Liberation Front,Militia (Pro-Government),Rebel group-Political militia,Balochistan,Kech,Buleda,26.3091,63.1537,1,,"On 31 December 2024, BLF militants shot dead a state-backed 'death squad' member (coded as pro-government militia) in Buleda tehsil (Kech, Balochistan), and wounded another civilian during the attack. BLF also looted the weapon belonging to the individual. 1 fatality and 1 injured.",2024-12
2024-12-30,2024,Explosions/Remote violence,Remote explosive/landmine/IED,BRG: Baloch Republican Guard,Police Forces of Pakistan (2022-),State forces-Rebel group,Balochistan,Jhal Magsi,Jhal Magsi,28.4839,67.5874,3,,"On 30 December 2024, BRG militants detonated an IED targeting a police vehicle near Mirpur area in Jhal Magsi district (Jhal Magsi, Balochistan). BRG claim all (an unspecified number) personnel inside the vehicle were killed, and the vehicle was destroyed in the explosion. Fatalities uncorroborated. Unspecified number of fatalities coded as 3.",2024-12
2024-12-30,2024,Explosions/Remote violence,Remote explosive/landmine/IED,BLA: Baloch Liberation Army,Military Forces of Pakistan (2022-),State forces-Rebel group,Balochistan,Kech,Gorgop,25.8727,63.5349,0,,"On 30 December 2024, BLA militants detonated an IED targeting a military vehicle in Jamak locality of Gorgop area (Kech, Balochistan). According to local sources, military personnel were wounded or killed in the explosion. BLA claim five military personnel were killed in the explosion. Fatalities coded as 0 based on the lowest estimate.",2024-12
2024-12-30,2024,Battles,Armed clash,BLF: Baloch Liberation Front,Military Forces of Pakistan (2022-),State forces-Rebel group,Balochistan,Awaran,Awaran,26.4567,65.2314,8,,"On 30 December 2024, BLF militants opened fire and ambushed a military convoy in Bint Rahisham area of Awaran district (Awaran, Balochistan) using automatic weapons. The attack occurred as the convoy was entering mountainous terrain for a suspected operation. BLF claimed to have killed five military personnel and wounded several others in the initial assault. They further claimed that three additional military personnel were killed in a subsequent exchange of fire when militants targeted personnel from another location. Fatalities uncorroborated with 8 fatalities coded.",2024-12
2024-12-29,2024,Explosions/Remote violence,Remote explosive/landmine/IED,Baloch Separatists (Pakistan),Police Forces of Pakistan (2022-) Coast Guard,State forces-Rebel group,Balochistan,Gwadar,Jiwani,25.0466,61.7461,0,,"On 29 December 2024, militants (coded as Baloch Separatists) conducted two IED attacks targeting coast guard personnel near a fish market in Jiwani area (Gwadar, Balochistan). 3 coast guard personnel were wounded in the explosion, with another wounded in the subsequent explosion targeting a coast guard vehicle. 4 injured and no fatalities.",2024-12
2024-12-28,2024,Battles,Armed clash,BLF: Baloch Liberation Front,Military Forces of Pakistan (2022-),State forces-Rebel group,Balochistan,Kech,Malant,26.1329,62.3273,0,,"On 28 December 2024, BLF militants opened fire at a military post in Malant area of Tump tehsil (Kech, Balochistan) using heavy weapons. BLF claim two military personnel were wounded in the attack. 2 injured with no fatalities.",2024-12
2024-12-28,2024,Battles,Armed clash,BLF: Baloch Liberation Front,Military Forces of Pakistan (2022-),State forces-Rebel group,Balochistan,Kech,Turbat,26.0001,63.0527,0,,"On 28 December 2024, BLF militants opened fire at a military camp in Absar Baloch Market in Turbat city (Kech, Balochistan). According to local sources, heavy gunfire and explosions were heard during the attack. Militants are claimed to have escaped following the attack. No casualties.",2024-12
2024-12-27,2024,Explosions/Remote violence,Remote explosive/landmine/IED,BRG: Baloch Republican Guard,Military Forces of Pakistan (2022-),State forces-Rebel group,Balochistan,Jaffarabad,Dera Allah Yar,28.3747,68.3503,2,,"On 27 December 2024, BRG militants conducted an IED attack on a military patrol vehicle at a fish market in Dera Allah Yar town (Jaffarabad, Balochistan). BRG claim two military personnel were killed in the attack. Fatalities uncorroborated with 2 fatalities coded.",2024-12
2024-12-26,2024,Battles,Armed clash,BLF: Baloch Liberation Front,Military Forces of Pakistan (2022-),State forces-Rebel group,Balochistan,Kech,Tump,26.099,62.364,0,,"On 26 December 2024, BLF militants opened fire at a military post near the Grade Station in Tump area (Kech, Balochistan) using rocket launches and assault weapons. BLF claim the rocket shells fell inside the post, and ignited a fire inside the camp setting the tents and vehicles on fire. BLF claim an unspecified number of personnel were killed or wounded in the attack. Fatalities uncorroborated.",2024-12
2024-12-26,2024,Battles,Armed clash,BLF: Baloch Liberation Front,Militia (Pro-Government),Rebel group-Political militia,Balochistan,Kech,Mand,26.1135,62.0274,1,,"On 26 December 2024, BLF militants claim to have opened fire and killed a 'death squad' member (coded as pro-government militia) in Kahnak area of Mand tehsil (Kech, Balochistan). BLF claim the individual was a former Baloch Separatists who had surrendered to military forces in 2019, and worked as a 'death squad' militia member in the area.",2024-12
2024-12-25,2024,Explosions/Remote violence,Remote explosive/landmine/IED,BLA: Baloch Liberation Army,Police Forces of Pakistan (2022-) Balochistan Levies,State forces-Rebel group,Balochistan,Kech,Zarin Bagh,25.8942,63.2135,2,,"On 25 December 2024, BLA militants detonated an IED targeting a levies security convoy in Zarin Bagh area of Dasht tehsil (Kech, Balochistan). The convoy was dispatched in advance to review security arrangements in preparation for the arrival of Qatari foreign dignitaries for a hunting trip in the area. Two levies personnel were killed and four others were wounded in the explosion. The foreign dignitaries were not present and remained unhurt in the explosion. BLA conducted a series of attacks between 22 - 25 December marking the six death anniversary of one of its founders. 2 fatalities and 4 injured.",2024-12
2024-12-25,2024,Explosions/Remote violence,Remote explosive/landmine/IED,BLA: Baloch Liberation Army,,Rebel group only,Balochistan,Quetta,Quetta,30.1999,67.0097,0,,"On 25 December 2024, BLA militants detonated an IED and partially destroyed a part of the railway track near the University of Balochistan between Sariab and Munir Ahmed Roads in Quetta city (Quetta, Balochistan). BLA militants also detonated an IED targeted an 18-inch diameter Sui Southern Gas Company (SSGC) Western Bypass Gas Pipeline near a bridge in Barori area of Quetta city. The explosion resulted in a large fire to break out from the pipeline and severely damaged a big portion of the pipeline. No persons were hurt in either explosion. BLA conducted a series of attacks between 22 - 25 December marking the six death anniversary of one of its founders.",2024-12
2024-12-25,2024,Battles,Armed clash,BLF: Baloch Liberation Front,Military Forces of Pakistan (2022-),State forces-Rebel group,Balochistan,Awaran,Jhal Jao,26.3031,65.5812,2,,"On 25 December 2024, BLF militants opened fire at military ground personnel in Korak area of Jhal Jao tehsil (Awaran, Balochistan). BLF claim two military personnel were killed and several others were wounded in the attack. BLF also claim to have destroyed a drone camera belonging to military forces. Fatalities uncorroborated with 2 fatalities coded.",2024-12
2024-12-24,2024,Battles,Armed clash,BLF: Baloch Liberation Front,Military Forces of Pakistan (2022-),State forces-Rebel group,Balochistan,Kech,Kolwa,26.0349,64.2883,0,,"On 24 December 2024, BLF militants opened fire at a military post in Dambalar area of Kolwa tehsil (Kech, Balochistan). BLF claim the attack resulted in an unspecified number of casualties.",2024-12
2024-12-24,2024,Explosions/Remote violence,Remote explosive/landmine/IED,BLA: Baloch Liberation Army,Military Forces of Pakistan (2022-),State forces-Rebel group,Balochistan,Kech,Zamuran,26.4211,62.8977,2,,"On 24 December 2024, BLA militants conducted an IED attack targeting ground military personnel in Paganzan area of Zamuran tehsil (Kech, Balochistan). BLA claim two military personnel were killed and another was wounded. BLA conducted a series of attacks between 22 - 25 December marking the six death anniversary of one of its founders. Fatalities uncorroborated with 2 fatalities coded and 1 injured.",2024-12
2024-12-24,2024,Explosions/Remote violence,Remote explosive/landmine/IED,BLA: Baloch Liberation Army,Police Forces of Pakistan (2022-),State forces-Rebel group,Balochistan,Quetta,Quetta,30.1999,67.0097,0,,"On 24 December 2024, BLA militants detonated a bomb targeting a police vehicle on Qambrani Road in Quetta city (Quetta, Balochistan). BLA claim the police personnel suffered casualties, however, did not provide any number. BLA conducted a series of attacks between 22 - 25 December marking the six death anniversary of one of its founders.",2024-12
2024-12-24,2024,Violence against civilians,Attack,BLF: Baloch Liberation Front,Civilians (Pakistan),Rebel group-Civilians,Balochistan,Panjgur,Panjgur,26.9817,64.1166,1,Civilian targeting,"On 24 December 2024, BLF militants shot dead a man claimed to have been a military informant in Saradok area of Panjgur district (Panjgur, Balochistan). 1 fatality.",2024-12
2024-12-23,2024,Violence against civilians,Attack,BLA: Baloch Liberation Army,Civilians (Pakistan),Rebel group-Civilians,Balochistan,Panjgur,Panjgur,26.9817,64.1166,1,Civilian targeting,"On 23 December 2024, BLA militants shot dead a man claimed to have been a military informant near Qalam Chowk in Panjgur town (Panjgur, Balochistan). BLA claim the individual was in disguise working as an informant for military forces in the area. BLA conducted a series of attacks between 22 - 25 December marking the six death anniversary of one of its founders. 1 fatality.",2024-12
2024-12-23,2024,Violence against civilians,Attack,BLA: Baloch Liberation Army,Civilians (Pakistan),Rebel group-Civilians,Balochistan,Kalat,Kalat,29.0266,66.5936,1,Civilian targeting,"On 23 December 2024, BLA militants shot dead a man claimed to have been a military informant in Kalat city (Kalat, Balochistan). BLA claim the individual was disguised as a vagrant while working as an informant for military forces in the area. BLA conducted a series of attacks between 22 - 25 December marking the six death anniversary of one of its founders. 1 fatality.",2024-12
2024-12-23,2024,Explosions/Remote violence,Remote explosive/landmine/IED,BLA: Baloch Liberation Army,,Rebel group only,Balochistan,Awaran,Mashke,27.1008,65.5796,0,,"On 23 December 2024, BLA militants conducted an IED attack targeting a dumper vehicle belonging to a construction company on M8 Road between Kapoor and Lakhi areas in Mashkai tehsil (coded as Mashke (Awaran, Balochistan)). One vehicle was damaged in the attack. BLA conducted a series of attacks between 22 - 25 December marking the six death anniversary of one of its founders. No fatalities.",2024-12
2024-12-23,2024,Explosions/Remote violence,Grenade,Baloch Separatists (Pakistan),Civilians (Pakistan),Rebel group-Civilians,Balochistan,Quetta,Quetta,30.1999,67.0097,0,Civilian targeting,"On 23 December 2024, unidentified assailants (coded as Baloch Separatists) on motorcycle hurled a hand grenade towards a Barber Shop on Karachi Road near Customs area in Quetta city (Quetta, Balochistan). Two persons were wounded in the explosion. The motive behind the attack remains unknown. 2 injured and no fatalities.",2024-12
2024-12-22,2024,Violence against civilians,Attack,BLA: Baloch Liberation Army,Civilians (Pakistan),Rebel group-Civilians,Balochistan,Kech,Tump,26.099,62.364,0,Civilian targeting,"On 22 December 2024, BLA militants opened fire and damaged two vehicles carrying liquefied petroleum gas (LPG) on Zubaida Jalal Road in Sreenkan Tiganabad area of Tump tehsil (Kech, Balochistan). BLA claim to have released the drivers during the attack. BLA conducted a series of attacks between 22 - 25 December marking the six death anniversary of one of its founders. No fatalities.",2024-12
2024-12-21,2024,Battles,Armed clash,BLF: Baloch Liberation Front,Police Forces of Pakistan (2022-) Balochistan Levies,State forces-Rebel group,Balochistan,Kech,Kolwa,26.0349,64.2883,0,,"On 21 December 2024, BLF militants opened fire from a distance on a levies search and clearance team in Kolwa area (Kech, Balochistan), after personnel were dispatched in advance to clear the area for hunting for Qatari foreign dignitaries. One levies personnel was wounded in the attack. The foreign delegation remained unhurt in the attack. 1 injured and no fatalities.",2024-12
2024-12-20,2024,Battles,Armed clash,BLF: Baloch Liberation Front,Police Forces of Pakistan (2022-) Frontier Corps,State forces-Rebel group,Balochistan,Kharan,Kharan,28.5833,65.4167,1,,"On 20 December 2024, FC forces conducted an intelligence-based operation (IBO) targeting BLF militants in Killi Siapad Sarkharan area of Kharan district (Kharan, Balochistan). During the operation, BLF militants launched two explosive attacks targeting FC personnel, followed by an exchange of fire that left one militant dead and three FC personnel injured. FC forces later uncovered an IED factory containing 30 kilograms of explosives. While the BLF claimed to have killed nine FC personnel, including a major, mainstream reports confirm only one militant fatality and three FC personnel wounded. 1 fatality coded based on the lowest estimate. 3 injured.",2024-12
2024-12-19,2024,Violence against civilians,Attack,BLA: Baloch Liberation Army,Civilians (Pakistan),Rebel group-Civilians,Balochistan,Nushki,Nushki,29.5521,66.0228,1,Civilian targeting,"On 19 December 2024, BLA militants shot dead a man claimed to have been a military informant near a bus stop in Nushki city (Nushki, Balochistan). BLA claim the individual was disguised as a vagrant while working as an informant for military forces in the area. 1 fatality.",2024-12
2024-12-19,2024,Violence against civilians,Attack,BLA: Baloch Liberation Army,Civilians (Pakistan),Rebel group-Civilians,Balochistan,Quetta,Quetta,30.1999,67.0097,1,Civilian targeting,"On 19 December 2024, BLA militants shot dead a man claimed to have been a military informant in Faizabad area of Quetta city (Quetta, Balochistan). BLA claim the individual was disguised as a vagrant while working as an informant for military forces in the area. 1 fatality.",2024-12
2024-12-18,2024,Explosions/Remote violence,Remote explosive/landmine/IED,Baloch Separatists (Pakistan),Civilians (Pakistan),Rebel group-Civilians,Balochistan,Kohlu,Kahan,29.2523,68.8963,1,Civilian targeting,"On 18 December 2024, unidentified armed assailants (coded as Baloch Separatists) conducted a landmine explosion, killing one civilian and wounding another in Pashi area of Kahan tehsil (Kohlu, Balochistan). 1 fatality and 1 injured.",2024-12
2024-12-18,2024,Battles,Armed clash,BLA: Baloch Liberation Army,Militia (Pro-Government),Rebel group-Political militia,Balochistan,Kech,Turbat,26.0001,63.0527,1,,"On 18 December 2024, BLA militants on motorcycle shot dead a claimed 'death squad' member (coded as pro-government militia) and military informant in Meri area of Turbat city (Kech, Balochistan). BLA also claim to have seized weapons belonging to the individual. 1 fatality.",2024-12
2024-12-18,2024,Battles,Armed clash,BLF: Baloch Liberation Front,Military Forces of Pakistan (2022-),State forces-Rebel group,Balochistan,Kech,Tump,26.099,62.364,0,,"On 18 December 2024, BLF militants opened fire at a military check post in Hamzahi Tump area (Kech, Balochistan). BLF claim an unspecified number of personnel were killed or wounded in the attack.",2024-12
2024-12-17,2024,Violence against civilians,Attack,Baloch Separatists (Pakistan),Civilians (Pakistan),Rebel group-Civilians,Balochistan,Quetta,Quetta,30.1999,67.0097,0,Civilian targeting,"On 17 December 2024, unidentified armed assailants (coded as Baloch Separatists) opened fire and wounded the driver of the Quetta Deputy Commissioner near Sharifabad area in Quetta city (Quetta, Balochistan). 1 injured and no fatalities.",2024-12
2024-12-16,2024,Explosions/Remote violence,Remote explosive/landmine/IED,BLA: Baloch Liberation Army,Military Forces of Pakistan (2022-),State forces-Rebel group,Balochistan,Kech,Khuddan,25.7092,62.5411,2,,"On 16 December 2024, BLA militants on conducted a landmine explosion targeting two military personnel on a motorcycle in Jat Bazaar area of Dasht tehsil (coded as Khuddan (Kech, Balochistan). BLA claim two military personnel were killed in the explosion while the motorcycle was also destroyed. Fatalities uncorroborated with 2 fatalities coded.",2024-12
2024-12-16,2024,Battles,Armed clash,BLF: Baloch Liberation Front,Military Forces of Pakistan (2022-),State forces-Rebel group,Balochistan,Kech,Zamuran,26.4211,62.8977,1,,"On 16 December 2024, BLF militants attacked military forces at a check post in Zamri Harkur area of Zamuran tehsil (Kech, Balochistan). Militants fired a sniper and claimed to have killed one military personnel. Later, militants opened fire at military personnel resulting in an unspecified number of casualties. Fatalities uncorroborated with 1 fatality coded.",2024-12
2024-12-16,2024,Battles,Armed clash,BLF: Baloch Liberation Front,Military Forces of Pakistan (2022-),State forces-Rebel group,Balochistan,Kech,Hirok,26.0138,63.5908,1,,"On 16 December 2024, BLF militants opened fire at military personnel at a military camp in Hirok area (Kech, Balochistan). BLF claim one military personnel was killed and two others were wounded. Fatalities uncorroborated with 1 fatality coded and 2 injured.",2024-12
2024-12-15,2024,Battles,Armed clash,BLA: Baloch Liberation Army,Military Forces of Pakistan (2022-),State forces-Rebel group,Balochistan,Panjgur,Panjgur,26.9817,64.1166,0,,"On 15 December 2024, BLA militants opened fire on military forces on Gadgi Bazaar area near a water supply point in Panjgur district (Panjgur, Balochistan) using automatic weapons and grenade launcher shells. According to local sources, gunfire and explosions, were heard from the area. BLA claim three military personnel were wounded in the attack. 3 injured and no fatalities.",2024-12
2024-12-15,2024,Battles,Armed clash,BLA: Baloch Liberation Army,Military Forces of Pakistan (2022-),State forces-Rebel group,Balochistan,Kech,Tump,26.099,62.364,2,,"On 15 December 2024, a large number of BLA militants attacked military forces in Mirabad area of Tump tehsil (Kech, Balochistan). BLA militants RPG shells towards the post. According to local sources, sounds of heavy gunfire and multiple explosions were heard from the area. BLA claim two military personnel were killed and four others were wounded in the attack. Fatalities uncorroborated with 2 fatalities coded and 4 injured.",2024-12
2024-12-13,2024,Explosions/Remote violence,Remote explosive/landmine/IED,Baloch Separatists (Pakistan),,Rebel group only,Balochistan,Loralai,Duki,30.1531,68.5732,0,,"On 13 December 2024, assailants (coded as Baloch Separatists) detonated a roadside IED targeting coal trucks in Manday Tuk area in Duki district (Loralai, Balochistan), when trucks loaded with coal were passing through the area. According to police officials, no trucks were damaged and no persons were hurt during the attack. No fatalities.",2024-12
2024-12-13,2024,Explosions/Remote violence,Grenade,BLA: Baloch Liberation Army,Civilians (Pakistan),Rebel group-Civilians,Balochistan,Kharan,Kharan,28.5833,65.4167,0,Civilian targeting,"On 13 December 2024, BLA militants on motorcycles hurled two hand grenades targeting an under-construction site of the government treasury divisional headquarters in Kharan town (Kharan, Balochistan). There were no casualties.",2024-12
2024-12-13,2024,Violence against civilians,Attack,Baloch Separatists (Pakistan),Civilians (Pakistan),Rebel group-Civilians,Balochistan,Panjgur,Panjgur,26.9817,64.1166,1,Civilian targeting,"On 13 December 2024, unidentified armed persons (coded as Baloch Separatists) on motorcycle opened fire and killed a local National Party (NP) leader in Chatikan area of Panjgur town (Panjgur, Balochistan) when he was coming out of the mosque after performing prayers in a suspected targeted attack. Assailants later fled the scene. 1 fatality.",2024-12
2024-12-13,2024,Violence against civilians,Attack,BLF: Baloch Liberation Front,Civilians (Pakistan),Rebel group-Civilians,Balochistan,Panjgur,Gwargo,26.7687,64.0528,1,Civilian targeting,"On 13 December 2024, BLF militants shot dead a man claimed to have been an informant of the Military Intelligence (MI) agency in Gwargo area (Panjgur, Balochistan). 1 fatality.",2024-12
2024-12-13,2024,Battles,Armed clash,BLF: Baloch Liberation Front,Military Forces of Pakistan (2022-),State forces-Rebel group,Balochistan,Kech,Mand,26.1135,62.0274,4,,"On 13 December 2024, BLF militants opened fire on military personnel traveling on Vigo vehicles in Chakap area in Mand tehsil (Kech, Balochistan). BLF claim four military personnel were killed and two others were wounded. Fatalities uncorroborated with 4 fatalities coded and 2 injured.",2024-12
2024-12-11,2024,Violence against civilians,Attack,BLF: Baloch Liberation Front,Civilians (Pakistan),Rebel group-Civilians,Balochistan,Washuk,Rakhshan,27.3699,64.9773,0,Civilian targeting,"On 11 December 2024, BLF militants opened fire and damaged gas tankers in Rakhshan area (Washuk, Balochistan). The drivers were detained and later released after being identified as Baloch. No casualties.",2024-12
2024-12-11,2024,Battles,Armed clash,Baloch Separatists (Pakistan),Police Forces of Pakistan (2022-) Balochistan Levies,State forces-Rebel group,Balochistan,Khuzdar,Khuzdar,27.7383,66.6433,1,,"On 11 December 2024, unidentified assailants (coded as Baloch Separatists) opened fire and killed a levies commander in Khuzdar district (Khuzdar, Balochistan). Assailants later fled the scene. 1 fatality.",2024-12
2024-12-11,2024,Battles,Armed clash,Baloch Separatists (Pakistan),Police Forces of Pakistan (2022-) Balochistan Levies,State forces-Rebel group,Balochistan,Kharan,Gwash,28.5098,65.4894,0,,"On 11 December 2024, unidentified armed men (coded as Baloch Separatists) opened fire and wounded a levies personnel in Toh Malik locality of Gwash area (Kharan, Balochistan). 1 injured and no fatalities.",2024-12
2024-12-11,2024,Battles,Armed clash,BLA: Baloch Liberation Army,Military Forces of Pakistan (2022-),State forces-Rebel group,Balochistan,Gwadar,Gwadar,25.1216,62.3254,2,,"On 11 December 2024, BLA militants opened fire at military forces in Akadah locality of Daramba area in Gwadar district (Gwadar, Balochistan), when they were on their way to provide security to other convoys. BLA claim two military personnel were killed. Fatalities uncorroborated with 2 fatalities coded.",2024-12
2024-12-11,2024,Battles,Armed clash,Baloch Separatists (Pakistan),Military Forces of Pakistan (2022-),State forces-Rebel group,Balochistan,Gwadar,Gwadar,25.1216,62.3254,1,,"On 11 December 2024, militants (coded as Baloch Separatists) opened fire at military forces at Kanda check point near Akra Kaur Dam area in Gwadar district (Gwadar, Balochistan). After an exchange of fire, one military personnel was killed and another was wounded. 1 fatality and 1 injured.",2024-12
2024-12-10,2024,Battles,Armed clash,BLA: Baloch Liberation Army,Military Forces of Pakistan (2022-),State forces-Rebel group,Balochistan,Kohlu,Kohlu,29.9053,69.0885,2,,"On 10 December 2024, BLA militants opened fire at military personnel at a check post in Noy-e-Sham area of Kohlu district (Kohlu, Balochistan) using rockets and heavy weapons. BLF claim two military personnel were killed and four others were wounded. Fatalities uncorroborated with 2 fatalities coded and 4 injured.",2024-12
2024-12-08,2024,Battles,Armed clash,BLF: Baloch Liberation Front,Military Forces of Pakistan (2022-),State forces-Rebel group,Balochistan,Awaran,Jhal Jao,26.3031,65.5812,1,,"On 8 December 2024, BLF militants conducted a sniper attack targeting military personnel in Jhal Jao area (Awaran, Balochistan). BLF claim one military personnel was killed. Fatalities uncorroborated with 1 fatality coded.",2024-12
2024-12-07,2024,Explosions/Remote violence,Grenade,BLF: Baloch Liberation Front,Police Forces of Pakistan (2022-) Frontier Corps,State forces-Rebel group,Balochistan,Quetta,Quetta,30.1999,67.0097,0,,"On 7 December 2024, BLF militants hurled a hand grenade towards FC personnel at Brewery Bypass area in Quetta city (Quetta, Balochistan). No damages or casualties in the attack.",2024-12
2024-12-06,2024,Battles,Armed clash,BLA: Baloch Liberation Army,Police Forces of Pakistan (2022-) Frontier Corps,State forces-Rebel group,Balochistan,Loralai,Duki,30.1531,68.5732,2,,"On 6 December 2024, BLA militants fired several grenade launcher shells towards FC personnel and later exchanged fire with FC personnel guarding coal mines at Sardar Mir Usman Tareen Coal Mines near Duki city (Loralai, Balochistan). While BLA claim four security personnel were killed and six others were wounded, mainstream sources claim two FC personnel were killed and three others were wounded. Fatalities coded as 2 based on the lowest estimate.",2024-12
2024-12-06,2024,Explosions/Remote violence,Remote explosive/landmine/IED,Baloch Separatists (Pakistan),Police Forces of Pakistan (2022-) Coast Guard,State forces-Rebel group,Balochistan,Gwadar,Jiwani,25.0466,61.7461,1,,"On 6 December 2024, militants (coded as Baloch Separatists) conducted an IED attack targeting coast guard patrol personnel near a lighthouse in Duran area of Jiwani town (Gwadar, Balochistan). One coast guard personnel was killed. 1 fatality.",2024-12
2024-12-05,2024,Battles,Armed clash,Baloch Separatists (Pakistan),Police Forces of Pakistan (2022-) Counter Terrorism Department,State forces-Rebel group,Balochistan,Khuzdar,Khuzdar,27.7383,66.6433,0,,"On 5 December 2024, assailants (coded as Baloch Separatists) on motorcycle opened fire on a CTD personnel in Jhalawan Complex area of Khuzdar town (Khuzdar, Balochistan). The personnel was severely wounded in the attack. 1 injured and no fatalities.",2024-12
